Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Market_TS,Firefox 81.0,,,2020-10-01 12:58:19,2020-10-01 12:59:05,45.920s,PASSED
,,,,,,,
Test Cases/Market-Script,Firefox 81.0,,Script,2020-10-01 12:58:20,2020-10-01 12:59:05,45.707s,PASSED
"openBrowser("""")",Firefox 81.0,,,2020-10-01 12:58:20,2020-10-01 12:58:25,4.859s,PASSED
"navigateToUrl(""market.cardinalhealth.com"")",Firefox 81.0,,,2020-10-01 12:58:25,2020-10-01 12:58:28,2.988s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Market_Login_Page/Page_/input_Username_username""), 5)",Firefox 81.0,,,2020-10-01 12:58:28,2020-10-01 12:58:29,0.732s,PASSED
"setText(findTestObject(""Object Repository/Market_Login_Page/Page_/input_Username_username""), ""mktnrsyn_int"")",Firefox 81.0,,,2020-10-01 12:58:29,2020-10-01 12:58:29,0.782s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Market_Login_Page/Page_/input_ Case Sensitive_password""), 5)",Firefox 81.0,,,2020-10-01 12:58:29,2020-10-01 12:58:30,0.501s,PASSED
"setText(findTestObject(""Object Repository/Market_Login_Page/Page_/input_ Case Sensitive_password""), ""Btbms4us!"")",Firefox 81.0,,,2020-10-01 12:58:30,2020-10-01 12:58:31,0.760s,PASSED
"click(findTestObject(""Object Repository/Market_Login_Page/Page_/button_Sign In""))",Firefox 81.0,Click on 'Login' button,,2020-10-01 12:58:31,2020-10-01 12:58:31,0.727s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Market_Main_Page/Page_Home/ul_Products""), 5)",Firefox 81.0,Market Main Page,,2020-10-01 12:58:31,2020-10-01 12:58:40,8.290s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Market_Search_Page/Page_Home/button_Logout_home-search-button""), 5)",Firefox 81.0,Market Search Page,,2020-10-01 12:58:40,2020-10-01 12:58:40,0.292s,PASSED
"setText(findTestObject(""Object Repository/Market_Search_Page/Page_Home/input_Logout_col-xs-12 home-search-box ng-untouched ng-pristine ng-invalid""), ""isolation gown yellow"")",Firefox 81.0,,,2020-10-01 12:58:40,2020-10-01 12:58:41,0.645s,PASSED
"click(findTestObject(""Object Repository/Market_Search_Page/Page_Home/button_Logout_home-search-button""))",Firefox 81.0,Click on 'Search' button,,2020-10-01 12:58:41,2020-10-01 12:58:41,0.828s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Market_Add_To_Cart/Page_Search/h4_Category""), 5)",Firefox 81.0,Market Add To Cart,,2020-10-01 12:58:41,2020-10-01 12:58:45,3.749s,PASSED
"waitForElementVisible(findTestObject(""Market_Add_To_Cart/Page_Search/span_Add to Cart""), 5)",Firefox 81.0,,,2020-10-01 12:58:45,2020-10-01 12:58:46,0.302s,PASSED
"click(findTestObject(""Object Repository/Market_Add_To_Cart/Page_Search/span_Add to Cart""))",Firefox 81.0,,,2020-10-01 12:58:46,2020-10-01 12:58:46,0.556s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Market_Add_To_Cart/Page_Search/span_1 Items""), 5)",Firefox 81.0,,,2020-10-01 12:58:46,2020-10-01 12:58:48,1.427s,PASSED
"click(findTestObject(""Object Repository/Market_Add_To_Cart/Page_Search/span_Cart_full""))",Firefox 81.0,,,2020-10-01 12:58:48,2020-10-01 12:58:48,0.506s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Market_Checkout_Page/Page_Cart/span_Cart""), 5)",Firefox 81.0,Market Checkout Page,,2020-10-01 12:58:48,2020-10-01 12:58:52,3.645s,PASSED
"setText(findTestObject(""Object Repository/Market_Checkout_Page/Page_Cart/input_ PO_poNumber""), ""PerfT0001"")",Firefox 81.0,,,2020-10-01 12:58:52,2020-10-01 12:58:52,0.556s,PASSED
"setText(findTestObject(""Object Repository/Market_Checkout_Page/Page_Cart/textarea_PO Memo_poMemo""), ""BSM Test"")",Firefox 81.0,,,2020-10-01 12:58:52,2020-10-01 12:58:53,0.754s,PASSED
"click(findTestObject(""Object Repository/Market_Checkout_Page/Page_Cart/span_Packing Slip_checkbox-icon large""))",Firefox 81.0,,,2020-10-01 12:58:53,2020-10-01 12:58:54,0.721s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Market_Checkout_Page/Page_Cart/button_Update Cart""))",Firefox 81.0,,,2020-10-01 12:58:54,2020-10-01 12:58:54,0.278s,PASSED
"click(findTestObject(""Object Repository/Market_Checkout_Page/Page_Cart/button_Update Cart""))",Firefox 81.0,,,2020-10-01 12:58:54,2020-10-01 12:58:54,0.503s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Market_Checkout_Page/Page_Cart/button_Checkout""))",Firefox 81.0,,,2020-10-01 12:58:54,2020-10-01 12:58:56,1.815s,PASSED
"click(findTestObject(""Object Repository/Market_Checkout_Page/Page_Cart/button_Checkout""))",Firefox 81.0,,,2020-10-01 12:58:56,2020-10-01 12:58:57,0.512s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Market_Clear_Cart/Page_Checkout/span_Previous Page""), 5)",Firefox 81.0,Market Clear Cart,,2020-10-01 12:58:57,2020-10-01 12:58:59,1.907s,PASSED
"click(findTestObject(""Object Repository/Market_Clear_Cart/Page_Checkout/span_Previous Page""))",Firefox 81.0,,,2020-10-01 12:58:59,2020-10-01 12:58:59,0.647s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Market_Clear_Cart/Page_Cart/span_Packing Slip_checkbox-icon large""), 5)",Firefox 81.0,,,2020-10-01 12:58:59,2020-10-01 12:59:00,1.039s,PASSED
"click(findTestObject(""Object Repository/Market_Clear_Cart/Page_Cart/span_Packing Slip_checkbox-icon large""))",Firefox 81.0,,,2020-10-01 12:59:00,2020-10-01 12:59:01,0.492s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Market_Clear_Cart/Page_Cart/span_Delete""))",Firefox 81.0,,,2020-10-01 12:59:01,2020-10-01 12:59:01,0.268s,PASSED
"click(findTestObject(""Object Repository/Market_Clear_Cart/Page_Cart/span_Delete""))",Firefox 81.0,,,2020-10-01 12:59:01,2020-10-01 12:59:02,0.489s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Market_Clear_Cart/Page_Cart/button_Confirm""), 5)",Firefox 81.0,,,2020-10-01 12:59:02,2020-10-01 12:59:02,0.289s,PASSED
